
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056452                       # Number of seconds simulated (Second)
system.cpu.intInstQueueReads                226088432                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               100502351                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        84034098                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  20633640                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                 10357657                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses         10312985                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    83434000                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     10317489                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                        149873                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                        1878041                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                        21911                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                   98678922                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      571                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                     22845123                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                    11538583                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                    917794                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                          9191                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                         9290                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents               3115                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect              72622                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect           75978                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                   148600                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                          94581545                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      22010476                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    438759                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           33051590                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        7109973                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     11041114                       # Number of stores executed (Count)
system.cpu.numRate                           1.675437                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                     94472058                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                    94347083                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                      67983258                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                     110539625                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.671284                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.615013                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                            1531                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          105602                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
